Date,AYRO,CENN,EVTV,FUV,KNDI,NIO,TSLA,WKHS
2018-09-12,144.0,445500.0,11.8,82.1999,3.7999,6.5999,19.3693,287.5
2018-09-13,144.0,454500.0,11.1,81.1999,3.8499,11.6,19.2973,282.5
2018-09-14,134.3999,432000.0,12.7399,83.0,4.75,9.8999,19.68,282.5
2018-09-17,136.8,433500.0,12.8999,81.1999,4.1999,8.5,19.656,277.5
2018-09-18,132.0,417000.0,13.0799,88.0,4.5999,7.6799,18.9973,267.5
2018-09-19,134.3999,432000.0,13.0399,85.0,4.9499,8.5,19.9346,272.5
2018-09-20,139.1999,438000.0,13.76,87.5999,5.65,8.7799,19.8886,277.5
2018-09-21,127.1999,399000.0,12.56,78.4,5.4,8.59,19.94,267.5
2018-09-24,124.8,402000.0,12.0,82.0,5.25,7.8699,19.9786,280.0
2018-09-25,127.1999,391500.0,11.6,81.5999,5.0,7.5799,20.0659,282.5
2018-09-26,127.1999,396000.0,11.38,80.1999,4.9499,7.5,20.6386,277.5
2018-09-27,127.1999,409500.0,11.5,84.0,4.9499,7.01,20.5013,267.5
2018-09-28,122.4,403500.0,11.22,74.0,4.8499,6.98,17.6513,267.5
2018-10-01,124.8,361500.0,11.38,75.0,5.0799,6.5999,20.7133,272.5
2018-10-02,144.0,361500.0,10.8,74.5999,5.5399,5.9299,20.068,287.5
2018-10-03,127.1999,367500.0,10.6599,72.0,6.3,6.3,19.6533,277.5
2018-10-04,124.8,358500.0,10.1999,72.4,5.5999,6.25,18.7886,275.0
2018-10-05,127.1999,358500.0,10.52,73.8,5.82,6.26,17.4633,272.5
2018-10-08,129.6,345000.0,10.52,74.4,5.46,6.0399,16.704,285.0
2018-10-09,141.6,318000.0,10.02,78.8,5.4,7.3899,17.52,270.0
2018-10-10,129.6,297000.0,10.0,71.0,5.26,7.75,17.1253,257.5
2018-10-11,124.8,285000.0,10.6,77.8,5.0799,7.1799,16.8153,252.5
2018-10-12,120.0,283500.0,10.34,76.746,5.1399,7.46,17.252,262.5
2018-10-15,120.0,256500.0,10.0799,72.0,5.09,7.82,17.3059,250.0
2018-10-16,124.8,273000.0,10.6,72.0,5.05,8.0399,18.4393,257.5
2018-10-17,117.5999,241500.0,10.72,72.0,5.0,7.7699,18.1186,255.0
2018-10-18,112.8,247500.0,10.06,73.0,4.8499,7.5,17.5939,250.0
2018-10-19,103.1999,231015.0,10.1999,71.8,4.5999,7.32,17.3333,245.0
2018-10-22,100.8,231000.0,9.8,73.0,4.4,7.03,17.3966,237.5
2018-10-23,110.4,240000.0,10.1999,70.0,4.4,6.8099,19.6093,227.5
2018-10-24,132.0,217500.0,9.7399,72.1999,4.15,6.17,19.2333,207.5
2018-10-25,105.5999,214500.0,9.2399,67.0,4.25,6.4499,20.9906,214.25
2018-10-26,93.5999,217500.0,9.1999,64.5999,4.0,6.3499,22.0599,236.25
2018-10-29,93.5999,187500.0,8.88,68.0,4.6599,6.19,22.3233,211.0
2018-10-30,88.8,202500.0,8.1999,63.4,4.61,5.9499,21.9933,188.25
2018-10-31,91.1999,205500.0,8.0,60.0,4.8099,5.9,22.488,193.75
2018-11-01,86.4,205500.0,8.38,60.4,4.8,6.6199,22.9519,201.0
2018-11-02,88.8,210000.0,9.0399,61.2,4.9899,6.4899,23.0939,209.75
2018-11-05,98.4,214500.0,12.3999,64.0,5.3499,6.6799,22.76,217.0
2018-11-06,96.0,307500.0,10.52,63.4,5.19,6.4,22.7373,206.25
2018-11-07,96.0,240000.0,12.3,62.7999,5.13,6.7399,23.2106,186.25
2018-11-08,98.4,202500.0,11.64,62.0,5.26,6.69,23.4266,203.0
2018-11-09,98.4,196500.0,11.1999,58.3199,4.71,6.7699,23.3673,222.5
2018-11-12,96.0,181500.0,10.56,57.7999,4.5999,6.65,22.0853,205.25
2018-11-13,96.0,175500.0,10.22,58.0,4.61,6.78,22.582,215.5
2018-11-14,96.0,169500.0,11.0,58.0,4.61,7.0999,22.9333,207.5
2018-11-15,96.0,171000.0,10.6999,59.5999,4.6599,7.34,23.2293,211.25
2018-11-16,91.1999,175500.0,9.6999,58.7999,4.5999,7.19,23.6206,195.0
2018-11-19,88.8,175500.0,9.46,46.0,4.4,7.84,23.5646,188.5
2018-11-20,81.5999,171000.0,8.76,43.4,4.26,7.67,23.166,186.75
2018-11-21,81.5999,177000.0,9.0,44.5999,4.5,7.71,22.5459,196.0
2018-11-23,81.5999,186000.0,8.9799,42.2,4.4899,7.46,21.722,207.5
2018-11-26,86.4,193500.0,9.2799,44.0,4.4299,7.3699,23.0666,195.0
2018-11-27,79.1999,184500.0,9.1999,44.7999,4.36,7.48,22.9279,197.0
2018-11-28,79.1999,192000.0,8.6999,40.4,4.5199,8.1199,23.1913,180.0
2018-11-29,84.0,183000.0,8.42,42.0,4.51,7.7899,22.7446,182.5
2018-11-30,76.8,187500.0,8.14,43.0,4.4699,7.71,23.3653,177.5
2018-12-03,79.1999,192000.0,8.6,44.0,4.71,7.5799,23.8993,158.75
2018-12-04,84.0,183000.0,8.14,44.2,4.5,7.0799,23.9799,137.5
2018-12-06,79.1999,189000.0,7.8,46.4,4.2399,7.3699,24.204,136.5
2018-12-07,79.1999,172500.0,7.8,43.5999,4.2699,6.9899,23.8646,135.0
2018-12-10,81.5999,162000.0,7.6999,41.5999,4.1399,7.03,24.3433,127.5
2018-12-11,81.5999,144000.0,7.5,40.5999,4.1799,7.0799,24.4506,126.75
2018-12-12,81.5999,142560.0,7.6999,40.0,4.2899,7.5399,24.44,130.0
2018-12-13,76.8,129000.0,7.4,38.2,4.2199,7.75,25.1193,126.75
2018-12-14,81.5999,125100.0,7.4,43.0,4.2399,7.6999,24.3806,127.5
2018-12-17,86.4,139650.0,6.4,40.2,4.0799,7.03,23.228,126.75
2018-12-18,76.8,151500.0,6.46,40.2,4.13,7.07,22.4686,107.5
2018-12-19,76.8,165000.0,6.6199,41.0,4.01,6.8299,22.1979,113.25
2018-12-20,69.5999,123180.0,5.5199,41.0,3.8699,6.5199,21.0253,142.5
2018-12-21,64.8,150000.0,4.5399,38.5999,3.6199,6.07,21.318,150.0
2018-12-24,57.5999,136500.0,5.5999,41.4,3.72,5.92,19.6926,149.25
2018-12-26,60.0,131625.0,5.26,40.4,3.8199,6.36,21.7393,130.5
2018-12-27,57.5999,126750.0,5.0399,40.2,3.74,6.4299,21.0753,130.0
2018-12-28,57.5999,124515.0,5.0999,47.7999,3.74,6.4699,22.2579,125.0
2018-12-31,50.4,125505.0,5.44,53.5999,3.63,6.3699,22.1866,132.0
2019-01-02,57.5999,126300.0,6.1599,63.2,4.15,6.1999,20.6746,162.5
2019-01-03,55.2,122250.0,5.6999,62.0,4.17,6.05,20.024,173.75
2019-01-04,60.0,125445.0,6.0799,59.7999,4.4,6.36,21.1793,197.5
2019-01-07,67.1999,125355.0,6.26,60.4,4.53,6.5,22.3306,195.0
2019-01-08,72.0,124515.0,6.1599,70.0,4.4299,6.4,22.3566,189.0
2019-01-09,88.8,120480.0,6.5999,63.7999,5.3899,6.63,22.5686,185.0
2019-01-10,81.5999,126000.0,6.36,64.4,5.05,6.6599,22.9979,177.5
2019-01-11,86.4,121500.0,5.48,67.5,5.3499,6.59,23.1506,195.0
2019-01-14,98.4,116250.0,5.48,67.0,5.3899,6.8,22.2933,192.75
2019-01-15,88.8,138000.0,5.32,70.0,5.3499,6.82,22.9619,205.0
2019-01-16,81.5999,126015.0,5.4,69.8619,5.01,6.71,23.0699,210.0
2019-01-17,86.4,127965.0,5.1999,69.8,5.0,6.8099,23.1539,217.5
2019-01-18,88.8,124500.0,5.0999,70.8,5.07,6.71,20.1506,249.5
2019-01-22,88.8,124500.0,5.0,67.0,5.15,6.57,19.9279,252.5
2019-01-23,93.5999,121755.0,4.8,64.5999,5.3,6.55,19.1726,232.5
2019-01-24,100.8,124500.0,4.5999,64.398,5.32,6.5799,19.434,227.5
2019-01-25,93.5999,122850.0,4.8,64.4,5.2199,6.65,19.8026,226.25
2019-01-28,96.0,131400.0,5.46,65.5999,5.4499,6.67,19.7586,211.25
2019-01-29,96.0,124500.0,5.1399,60.7999,5.69,6.94,19.8306,210.0
2019-01-30,93.5999,124500.0,5.0,61.228,5.71,7.46,20.5846,217.5
2019-01-31,91.1999,120750.0,5.32,60.4,5.5399,7.88,20.468,227.25
2019-02-01,93.5999,127500.0,5.1599,62.0,5.57,7.9,20.8139,242.5
