Date,F,GM,HMC,HYMTF,MBGAF,NSANY,STLA,TM,VWAGY
2018-09-12,6.5805,31.0718,23.8467,30.4234,44.9678,18.52,9.3476,101.4593,11.3843
2018-09-13,6.6016,31.2451,24.2193,30.4234,45.9219,18.7299,9.3476,103.1939,11.7049
2018-09-14,6.658,31.5918,24.4734,30.4234,45.694,18.9799,9.369,103.4646,11.7373
2018-09-17,6.7284,31.9476,24.5411,30.4234,45.8507,19.03,9.3422,103.6339,11.8526
2018-09-18,6.7496,32.0205,25.1424,44.8792,46.4202,19.35,9.4279,105.7915,12.2489
2018-09-19,6.8905,32.5953,25.642,44.8792,46.8973,19.4099,9.6367,106.0369,12.4002
2018-09-20,6.9116,32.9146,25.913,44.8792,48.1859,19.53,9.8187,105.7238,12.7965
2018-09-21,6.9398,32.2212,26.1416,33.8436,48.2215,19.6499,9.792,105.5292,12.9334
2018-09-24,6.7566,31.7012,25.9638,32.7854,46.9542,19.61,9.8027,104.92,12.7605
2018-09-25,6.6157,30.6065,26.0231,32.7854,45.8293,19.36,9.6313,105.6646,12.5487
2018-09-26,6.5312,30.7707,25.827,32.7854,45.7723,18.7199,9.7652,105.8846,12.5587
2018-09-27,6.503,30.716,25.8697,32.7854,46.0642,18.7399,9.5885,106.9384,12.6582
2018-09-28,6.5171,30.716,25.6395,32.7854,44.8753,18.7,9.3744,106.7153,12.4579
2018-10-01,6.5664,31.1995,25.9293,32.7854,45.1672,18.59,9.6313,107.1187,12.4752
2018-10-02,6.4818,30.3784,25.9634,33.9192,45.9503,18.6,9.5725,107.8824,12.566
2018-10-03,6.4325,31.017,25.0343,33.9192,45.9361,18.18,9.4761,105.2993,12.5948
2018-10-04,6.4466,31.2451,24.8468,33.9192,46.0785,18.18,9.4172,104.853,12.4435
2018-10-05,6.4255,31.1265,24.5911,33.9192,45.5089,18.17,9.3048,104.2695,12.2057
2018-10-08,6.5241,31.2451,24.6678,33.9192,44.7898,18.2,9.187,104.4583,12.1192
2018-10-09,6.3057,29.7855,24.1052,33.9192,44.505,18.11,9.1013,102.9135,11.9535
2018-10-10,6.2141,29.7399,23.7302,30.4234,43.7219,17.8299,8.6195,101.077,11.4059
2018-10-11,6.2071,29.4753,23.1335,30.4234,43.316,17.77,8.657,100.1931,11.3771
2018-10-12,6.0873,29.0009,23.1932,29.2896,43.7646,17.84,8.6463,100.2017,11.4924
2018-10-15,6.2071,29.302,23.0568,29.2896,43.6934,17.8199,8.6837,99.2319,11.7265
2018-10-16,6.2,29.5027,23.6109,29.2896,44.0351,18.1299,9.0157,101.3002,12.0529
