Date,Year,Type,Type_Clean,Unit,Geography,Price
2000-01-03,2000,Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Regular Conventional Retail Gasoline Prices,Dollars per Gallon,US,1.26
2000-01-10,2000,Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Regular Conventional Retail Gasoline Prices,Dollars per Gallon,US,1.252
2000-01-17,2000,Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Regular Conventional Retail Gasoline Prices,Dollars per Gallon,US,1.268
2000-01-24,2000,Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Regular Conventional Retail Gasoline Prices,Dollars per Gallon,US,1.307
2000-01-31,2000,Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Regular Conventional Retail Gasoline Prices,Dollars per Gallon,US,1.307
2000-02-07,2000,Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Regular Conventional Retail Gasoline Prices,Dollars per Gallon,US,1.319
2000-02-14,2000,Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Regular Conventional Retail Gasoline Prices,Dollars per Gallon,US,1.35
2000-02-21,2000,Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Regular Conventional Retail Gasoline Prices,Dollars per Gallon,US,1.4
2000-02-28,2000,Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Regular Conventional Retail Gasoline Prices,Dollars per Gallon,US,1.413
2000-03-06,2000,Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Regular Conventional Retail Gasoline Prices,Dollars per Gallon,US,1.49
2000-03-13,2000,Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Regular Conventional Retail Gasoline Prices,Dollars per Gallon,US,1.511
2000-03-20,2000,Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Regular Conventional Retail Gasoline Prices,Dollars per Gallon,US,1.508
2000-03-27,2000,Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Regular Conventional Retail Gasoline Prices,Dollars per Gallon,US,1.484
2000-04-03,2000,Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Regular Conventional Retail Gasoline Prices,Dollars per Gallon,US,1.478
2000-04-10,2000,Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Regular Conventional Retail Gasoline Prices,Dollars per Gallon,US,1.447
2000-04-17,2000,Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Regular Conventional Retail Gasoline Prices,Dollars per Gallon,US,1.415
2000-04-24,2000,Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Regular Conventional Retail Gasoline Prices,Dollars per Gallon,US,1.406
2000-05-01,2000,Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Regular Conventional Retail Gasoline Prices,Dollars per Gallon,US,1.386
2000-05-08,2000,Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Regular Conventional Retail Gasoline Prices,Dollars per Gallon,US,1.427
2000-05-15,2000,Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Regular Conventional Retail Gasoline Prices,Dollars per Gallon,US,1.466
2000-05-22,2000,Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Regular Conventional Retail Gasoline Prices,Dollars per Gallon,US,1.494
2000-05-29,2000,Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Regular Conventional Retail Gasoline Prices,Dollars per Gallon,US,1.509
2000-06-05,2000,Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Regular Conventional Retail Gasoline Prices,Dollars per Gallon,US,1.535
2000-06-12,2000,Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Regular Conventional Retail Gasoline Prices,Dollars per Gallon,US,1.607
2000-06-19,2000,Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Regular Conventional Retail Gasoline Prices,Dollars per Gallon,US,1.664
2000-06-26,2000,Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Regular Conventional Retail Gasoline Prices,Dollars per Gallon,US,1.641
2000-07-03,2000,Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Regular Conventional Retail Gasoline Prices,Dollars per Gallon,US,1.606
2000-07-10,2000,Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Regular Conventional Retail Gasoline Prices,Dollars per Gallon,US,1.571
2000-07-17,2000,Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Regular Conventional Retail Gasoline Prices,Dollars per Gallon,US,1.521
2000-07-24,2000,Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Regular Conventional Retail Gasoline Prices,Dollars per Gallon,US,1.499
2000-07-31,2000,Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Regular Conventional Retail Gasoline Prices,Dollars per Gallon,US,1.447
